id,created_at,product_id,product_name,product_sku,_quantity_on_hand,unit_cost,shelf_location,notes,entrada,salida,detalle
451245,"2025-11-20 11:20:06",8094,"MEDIA INGESA 40 EUROCOLOR LXL",7861035802228,84,2.01,"VITRINA DE LENCERIAS","S/N
",0,1,"NotaVenta doc. 001-050-000085947"
451246,"2025-11-20 11:20:06",10392,"MEDIA SPORT 20 EUROCOLOR ",7861035801337,19,0.88,"ESTANTE DE MEDIAS","S/N
",0,1,"NotaVenta doc. 001-050-000085947"
451244,"2025-11-20 11:15:28",28046,"ADORNO NOEL HT12 C/UNO",6920220300121,4,0.6,"LOCA PRINCIPAL","S/N
",0,4,"Factura doc. 001-050-000331951"
451243,"2025-11-20 11:15:27",28015,"ADORNO LAZO NAVIDAD JAHK831",8202500254163,14,1,"LOCAL PRINCIPAL ","S/N
",0,2,"Factura doc. 001-050-000331951"
451242,"2025-11-20 11:15:27",3592,"INDIVIDUAL MESA BORDADO NAVIDAD",7894566235548,9,1.2,"LOCAL PRINCIPAL",S/N,0,1,"Factura doc. 001-050-000331951"
451241,"2025-11-20 11:09:20",24901,"NUTRIBELA 10 SACHET BIOKERATINA 27ML",7702354946197,63,0.36,"ESTAN DE PELUQUERIA","S/N
",30,0,"NUEVA COMPRA
"
451240,"2025-11-20 11:09:17",27750,"PIERCING ZIRCON C/U 2503EM15-03",PIERCINGZIRCON,43,0.43,"LOCAL PRINCIPAL","S/N
",0,3,"NotaVenta doc. 001-050-000085946"
451239,"2025-11-20 11:09:17",26397,"LIP GLOSS KISS BEAUTY 71520-03A",6903072458868,8,0.83,"LOCAL PRINCIPAL","S/N
",0,2,"NotaVenta doc. 001-050-000085946"
451238,"2025-11-20 11:09:17",13320,"CARRO HOT WHEELS BASICO",194735103065,205,2.65,"SECCION DE JUGUETERIA","IVA
",0,1,"NotaVenta doc. 001-050-000085946"
451237,"2025-11-20 11:08:40",28129,"SHAMPOO NUTRIBELA BIOCOLAGENO ",7702354959531,10,0.2,"LOCAL PRINCIPAL","S/N
",10,0,"Inventario inicial"
451236,"2025-11-20 11:06:31",28127,"TRATAMIENTO NUTRIBELA BIOCOLAGENO ",7702354959562,2,5.9,"LOCAL PRINCIPAL","S/N
",2,0,"Inventario inicial"
451232,"2025-11-20 11:02:42",20257,"ANIMALES DOMESTICOS SC18135",2024051401225,68,1.77,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331950"
451233,"2025-11-20 11:02:42",3483,"MUSGUITO 80 GRS",7861044300210,5,1.59,"LOCAL PRINCIPAL",S/N,0,1,"Factura doc. 001-050-000331950"
451231,"2025-11-20 11:02:42",20952,"ADORNO NAVIDEÑO ESTRELLA JAHK554",8202400242987,0,0,"LOCAL PRINCIAL","S/N
",0,1,"Factura doc. 001-050-000331950"
451234,"2025-11-20 11:02:42",21265,"CASITAS DE NAVIDAD C/P",00000000006113A,13,2.69,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331950"
451235,"2025-11-20 11:02:42",20795,"TUBO PAPEL NACIMIENTO C/P",00000000006040A,36,0.5,"LOCAL PRINCIPAL","S/N
",0,3,"Factura doc. 001-050-000331950"
451228,"2025-11-20 10:56:25",28056,"ENSALADERA PLASTICA SLW22",6903123636900,11,1.38,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331949"
451230,"2025-11-20 10:56:25",28057,"ENSALADERA PLASTICA SLW16",6903123695402,7,0.68,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331949"
451229,"2025-11-20 10:56:25",28074,"PISTOLA CAP GUN JP383",00000000006579A,58,0.77,"LOCAL PRINCIPAL","S/N
",0,2,"Factura doc. 001-050-000331949"
451227,"2025-11-20 10:56:25",22455,"FUNDA DE REGALO CARTON MEDIANA",6920240496026,44,0.63,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331949"
451226,"2025-11-20 10:48:40",721,"NUTRIBELA BIOKERATINA 300ML",7702354946203,15,6.27,"ESTANTE DE TRATAMIENTOS","S/N
",3,0,"nueva compra
"
451224,"2025-11-20 10:41:50",684,"TINTE DUO 5 CASTAÑO CLARO",7750075043657,5,3.36,"ESTANTE DE TINTES","S/N
",0,1,"Factura doc. 001-050-000331948"
451225,"2025-11-20 10:41:50",23079,"ESPONJA FACIAL  2483",ESPONJA2483,17,0.62,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331948"
451223,"2025-11-20 10:41:29",13372,"BOMBILLO NAVIDAD CAJA JAHK39",8202121000392,27,1.7001,"LOCAL PRINCIPAL ","IVA
",0,2,"Factura doc. 001-050-000331947"
451222,"2025-11-20 10:41:29",27903,"BOMBILLO DORADO 6AE6B",2025533053239,14,0.84,"LOCAL PRINCIPAL ","S/N
",0,2,"Factura doc. 001-050-000331947"
451221,"2025-11-20 10:41:29",27904,"BOMBILLO ROJO 6AE6A",2025533053222,12,0.84,"LOCAL PRINCIPAL ","S/N
",0,2,"Factura doc. 001-050-000331947"
451220,"2025-11-20 10:41:29",27933,"LUZ LED DE 240 MULTICOLOR JAGD2018",8002020020183,23,2,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331947"
451219,"2025-11-20 10:41:29",28036,"BOMBILLO VARIADO 12CM 12A1",2025533053062,33,1.2,"LOCAL PRINCIPAL ","S/N
",0,2,"Factura doc. 001-050-000331947"
451218,"2025-11-20 10:41:29",26949,"FLOR NAVIDEÑA CS19731",8964647854506,15,1.1,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331947"
451217,"2025-11-20 10:41:29",26950,"FLOR NAVIDEÑA CS19730",8964647854490,14,1.07,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331947"
451215,"2025-11-20 10:41:29",20002,"ADORNO NAVIDAD JAHK484",8202400242284,3,0.5,"LOCAL PRINCIPAL","S/N
",0,2,"Factura doc. 001-050-000331947"
451216,"2025-11-20 10:41:29",20965,"MUÑECO NAVIDEÑO IC1335",6945135013355,23,0.33,"LOCAL PRINCIAL","S/N
",0,1,"Factura doc. 001-050-000331947"
451213,"2025-11-20 10:41:29",20975,"ADORNO NAVIDEÑO IC1234",6945135013348,10,0.33,"LOCAL PRINCIAL","S/N
",0,4,"Factura doc. 001-050-000331947"
451214,"2025-11-20 10:41:29",20977,"ADORNO NAVIDEÑO IC1336",6945135013362,1,0.33,"LOCAL PRINCIAL","S/N
",0,4,"Factura doc. 001-050-000331947"
451212,"2025-11-20 10:40:22",24821,"TENAZA RIZADOR DE PELO LEYKA-6547",6188202465477,3,9.7,"LOCAL PRINCIPAL","S/N
",0,1,"NotaVenta doc. 001-050-000085945"
451211,"2025-11-20 10:31:13",16396,"VINCHA COQUETA MIMI",00000000005127A,243,1.5,"LOCAL PRINCIPAL ","IVA
",0,1,"Factura doc. 001-050-000331946"
451208,"2025-11-20 10:31:13",768,"TRTAMIENTO PROKPIL CENIZO 150ML",7708132134459,7,3.36,"ESTANTE DE TRATAMIENTOS","S/N
",0,1,"Factura doc. 001-050-000331946"
451210,"2025-11-20 10:31:13",4444,"DESODORANTE ROLLON YANBAL EFECTIVE BRISA FLORAL",0011842,33,2.44,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331946"
451209,"2025-11-20 10:31:13",27826,"ILUMINADOR 2501HG68-02",6951984241023,12,1,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331946"
451207,"2025-11-20 10:31:13",8879,"DESODORANTE TEMTATION MUJER YANBAL",0013313,7,2.54,"VITRINA DE LABIALES","S/N
",0,1,"Factura doc. 001-050-000331946"
451206,"2025-11-20 10:31:13",9374,"SIMULADOR DOBLE NEGRO",00000000003185A,1197,0.16,"VITRINA DE PIRCIS","S/N
",0,4,"Factura doc. 001-050-000331946"
451205,"2025-11-20 10:31:13",12256,"MOÑO DE GAMUSA",NC19006,119,0.28,"LOCAL PRINCIPAL","S/N
",0,2,"Factura doc. 001-050-000331946"
451202,"2025-11-20 10:30:59",8833,"DELINIADOR PUNTA PLUMON BARDOT",7703799907514,0,0,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331945"
451203,"2025-11-20 10:30:59",26397,"LIP GLOSS KISS BEAUTY 71520-03A",6903072458868,10,0.83,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331945"
451204,"2025-11-20 10:30:59",23621,"RIMEL PROSA MAIVOLUMEN",7501734430147,1,4.5,"LOCAL PRINCIAL","S/N
",0,1,"Factura doc. 001-050-000331945"
451201,"2025-11-20 10:30:59",25332,"LAPIZ DELINEADOR DAVIS 2 EN 1",00000000006508A,4,0.28,"ESTANTE DE RIMELES","S/N
",0,2,"Factura doc. 001-050-000331945"
451200,"2025-11-20 10:30:59",6707,"LIGA GRUESA ALGODON NEGRO ES227154-1",00000000002278A,359,0.62,"TABLERO DE BISUTERIA","S/N
",0,1,"Factura doc. 001-050-000331945"
451199,"2025-11-20 09:56:15",13389,"LUZ LED MULTICOLOR 800L",888880001883,45,2.0048,"LOCAL PRINCIPAL ",,0,1,"Factura doc. 001-050-000331944"
451196,"2025-11-20 09:42:57",27358,"PINCHO FLOR TELA 2566127","PINCHO FLOR",14,1.25,"LOCAL PRINCIPAL","S/N
",0,1,"NotaVenta doc. 001-050-000085944"
451198,"2025-11-20 09:42:57",5242,"ARETES BRONCE LARGO VARIOS MODELOS",00000000001698A,224,1.11,"VITRINA DE PIRCIS","S/N
",0,1,"NotaVenta doc. 001-050-000085944"
451197,"2025-11-20 09:42:57",7439,"ARETES ECONOMICOS X6 PARES",00000000002551A,16,0.38,"LOCAL PRINCIPAL","S/N
",0,1,"NotaVenta doc. 001-050-000085944"
451195,"2025-11-20 09:41:58",24026,"RAQUETA MOSQUITO LUJO B20917",RAQUETAMOSQUITO,6,5.5,"LOCAL PRINCIPAL ","S/N
",0,1,"NotaVenta doc. 001-050-000085943"
451194,"2025-11-20 09:35:17",8129,"CAJA REGALO MEDIANA C/UNA",6956702529445,32,0.6,"LOCAL PRINCIPAL","S/N
",0,1,"NotaVenta doc. 001-050-000085942"
451192,"2025-11-20 09:25:10",5519,"BALON MIKASA ECONOMICO N-4",00000000001850A,12,2.69,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331943"
451193,"2025-11-20 09:25:10",26120,"HERVIDORA JAH25759",8202500257591,2,4.5,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331943"
451191,"2025-11-20 09:25:05",25952,"PORTARETRATO CS2964",6944498219640,1,1.31,"LOCAL PRINCIPAL ","S/N
",0,2,"Factura doc. 001-050-000331942"
451189,"2025-11-19 20:03:36",26417,"CEPILLO 2 EN 1 TINTING BRUSH",6222607510551,11,0.53,"LOCAL PRINCIPAL13448","S/N
",0,1,"Factura doc. 001-050-000331941"
451188,"2025-11-19 20:03:36",3929,"HENNA PARA CEJAS CAFE OSCURO",7709490637675,12,2.72,"VITRINA DE SOMBRAS Y BILLETERAS","S/N
",0,1,"Factura doc. 001-050-000331941"
451190,"2025-11-19 20:03:36",10981,"CERA SHINER 150G",00000000003744A,5,1,"ESTANTE DE SHAMPOOS","S/N
",0,1,"Factura doc. 001-050-000331941"
451183,"2025-11-19 20:01:06",815,"CREMA SALONIN RIZOS 300ML",7702113039672,10,6.59,"ESTANTE DE TRATAMIENTOS","S/N
",0,1,"Factura doc. 001-050-000331940"
451187,"2025-11-19 20:01:06",26613,"MOÑO LEYKA-5380",6188202453801,19,0.49,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331940"
451186,"2025-11-19 20:01:06",26947,"LIGA EN POMO CC9340",6920250093406,61,0.4,"LOCAL PRINCIPAL","S/N
",0,1,"Factura doc. 001-050-000331940"
451185,"2025-11-19 20:01:06",24128,"DESODORANTE AXE MARINE",7791293043791,7,3,"LOCAL PRINCIPAL ","S/N
",0,1,"Factura doc. 001-050-000331940"
451184,"2025-11-19 20:01:06",19389,"PINZA ZZAM NEGRA",7861210807956,187,0.6,"TABLERO DE BROCHAS","S/N
",0,1,"Factura doc. 001-050-000331940"
