id,created_at,product_id,product_name,product_sku,_quantity_on_hand,unit_cost,shelf_location,notes,entrada,salida,detalle
451238,2025-11-20 11:09:17,13320,CARRO HOT WHEELS BASICO,194735103065,205,2.65,SECCION DE JUGUETERIA,"IVA
",0,1,NotaVenta doc. 001-050-000085946
451174,2025-11-19 19:31:17,13320,CARRO HOT WHEELS BASICO,194735103065,206,2.65,SECCION DE JUGUETERIA,"IVA
",0,2,NotaVenta doc. 001-050-000085938
451155,2025-11-19 19:20:01,4588,COBIJILLA ECONOMICA MODELOS ,00000000001371A,62,3.29,LOCAL DE EDREDONES,"S/N
",0,2,Factura doc. 001-050-000331937
451147,2025-11-19 19:12:06,8396,MOÑO LIGA GERALDY NEGRA,NC1672,1956,0.12,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085935
451129,2025-11-19 18:03:52,13320,CARRO HOT WHEELS BASICO,194735103065,208,2.65,SECCION DE JUGUETERIA,"IVA
",72,0,"LOCAL MATRIZ
"
451117,2025-11-19 17:22:55,4003,SOMBRILLA AUTOMATICA 525-5/600,00000000001163A,140,2.56,LOCAL PRINCIPAL,"S/N
",0,4,"LOCAL TECNOLOGIA
"
450997,2025-11-19 12:53:49,8396,MOÑO LIGA GERALDY NEGRA,NC1672,1957,0.12,LOCAL PRINCIPAL,"S/N
",0,24,"MATRIZ
"
450966,2025-11-19 12:38:37,5132,ARETES FASHION X3 C/P,00000000001642A,610,1.0,VITRINA DE ARETES 1,"S/N
",0,3,"MATRIZ

"
450954,2025-11-19 12:34:14,5132,ARETES FASHION X3 C/P,00000000001642A,613,1.0,VITRINA DE ARETES 1,"S/N
",0,18,"MATRIZ
"
450951,2025-11-19 12:33:48,5132,ARETES FASHION X3 C/P,00000000001642A,631,1.0,VITRINA DE ARETES 1,"S/N
",0,1,NotaVenta doc. 001-050-000085887
450937,2025-11-19 11:07:38,5132,ARETES FASHION X3 C/P,00000000001642A,632,1.0,VITRINA DE ARETES 1,"S/N
",0,1,NotaVenta doc. 001-050-000085880
