id,created_at,product_id,product_name,product_sku,_quantity_on_hand,unit_cost,shelf_location,notes,entrada,salida,detalle
450792,2025-11-18 18:24:44,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,3,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085860
450641,2025-11-18 15:58:26,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,4,0.45,LOCAL PRINCIPAL,"S/N
",0,4,Factura doc. 001-050-000331882
450172,2025-11-17 12:33:17,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,8,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331826
449683,2025-11-15 20:00:50,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,9,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331749
449542,2025-11-15 16:19:10,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,10,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085708
449534,2025-11-15 16:00:16,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,11,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085707
449531,2025-11-15 15:47:55,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,12,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331711
449519,2025-11-15 15:35:37,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,13,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331710
449449,2025-11-15 13:45:25,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,14,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085690
449355,2025-11-14 20:19:01,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,15,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331676
449227,2025-11-14 15:55:28,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,16,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085661
449050,2025-11-13 19:51:23,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,17,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085640
448658,2025-11-12 14:44:17,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,18,0.45,LOCAL PRINCIPAL,"S/N
",0,2,NotaVenta doc. 001-050-000085578
448393,2025-11-11 18:27:22,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,20,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331505
448301,2025-11-11 15:47:11,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,21,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331488
447956,2025-11-10 12:22:50,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,22,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331432
447819,2025-11-09 16:48:56,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,23,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085456
447576,2025-11-09 11:38:19,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,24,0.45,LOCAL PRINCIPAL,"S/N
",0,3,Factura doc. 001-050-000331379
447549,2025-11-09 10:52:20,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,27,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331374
447471,2025-11-08 21:52:30,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,28,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085422
447446,2025-11-08 21:05:13,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,29,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085420
447339,2025-11-08 19:14:36,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,30,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331351
447283,2025-11-08 17:32:25,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,31,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331347
447209,2025-11-08 16:23:14,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,32,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331336
447129,2025-11-08 14:13:25,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,33,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085386
447114,2025-11-08 13:49:21,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,34,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085382
447002,2025-11-08 10:19:14,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,35,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331304
446940,2025-11-07 19:39:14,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,36,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331295
446888,2025-11-07 18:03:44,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,37,0.45,LOCAL PRINCIPAL,"S/N
",0,2,NotaVenta doc. 001-050-000085338
446836,2025-11-07 15:44:29,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,39,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085330
446573,2025-11-06 19:00:18,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,40,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085290
446166,2025-11-05 16:06:53,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,41,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085238
446053,2025-11-05 12:41:59,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,42,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331164
